Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S90049648,Canada Goose,Branta canadensis,330,15,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2021-06-12,09:35 AM,eBird - Traveling Count,125,1,3.175,,2,,With young
S90511590,Canada Goose,Branta canadensis,330,20,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2021-06-20,04:12 PM,eBird - Traveling Count,60,1,1.915,,2,,,,351957141 351957151
S95476489,Canada Goose,Branta canadensis,330,8,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2021-10-02,09:27 AM,eBird - Traveling Count,79,1,.982,,2
S130046495,Canada Goose,Branta canadensis,330,9,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2023-03-03,07:52 AM,eBird - Traveling Count,62,1,1.852,,1,,,,541857901
S132370005,Canada Goose,Branta canadensis,330,17,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2023-04-01,09:00 AM,eBird - Traveling Count,68,1,2.178,,1
S132756867,Canada Goose,Branta canadensis,330,10,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2023-04-05,07:57 AM,eBird - Traveling Count,57,1,1.633,,1,,,Originally reported a Black-and-white Warbler. This was a misidentification. Photos show it was another Yellow-rumped Warbler.
S161356154,Canada Goose,Branta canadensis,330,16,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2024-02-12,04:59 PM,eBird - Traveling Count,56,1,1.885,,1
S163442140,Canada Goose,Branta canadensis,330,5,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2024-03-02,09:13 AM,eBird - Traveling Count,119,1,2.771,,1,,On and around muskrat mounds,,615614303
S167291865,Canada Goose,Branta canadensis,330,6,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2024-04-05,04:34 PM,eBird - Traveling Count,61,1,2.247,,1,,,Area was severely flooded after days of rain,617153195 617153196 617153197
S169150500,Canada Goose,Branta canadensis,330,6,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2024-04-18,07:32 AM,eBird - Traveling Count,105,1,3.391,,1,,,,617630128
S169494347,Canada Goose,Branta canadensis,330,2,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2024-04-20,01:14 PM,eBird - Traveling Count,80,1,2.868,,1
S170289133,Canada Goose,Branta canadensis,330,1,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2024-04-25,05:32 PM,eBird - Traveling Count,92,1,1.887,,2
S171671946,Canada Goose,Branta canadensis,330,4,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2024-05-03,08:03 AM,eBird - Traveling Count,73,1,2.722,,1
S196551406,Canada Goose,Branta canadensis,330,20,US-NJ,Atlantic,L598883,Edwin B. Forsythe NWR--East Pool,39.4531611,-74.4145203,2024-09-26,12:39 PM,eBird - Traveling Count,87,1,5.676,,2
S196531532,Canada Goose,Branta canadensis,330,10,US-NJ,Atlantic,L598882,Edwin B. Forsythe NWR--Gull Pond,39.46952,-74.4455696,2024-09-26,10:25 AM,eBird - Stationary Count,29,1,,,2
S87353319,Canada Goose,Branta canadensis,330,1,US-PA,Beaver,L14788960,"15026, Clinton US-PA 40.50227, -80.40148",40.502269,-80.401485,2021-05-07,03:38 PM,eBird - Traveling Count,22,1,.567,,2
S169528380,Canada Goose,Branta canadensis,330,4,US-PA,Beaver,L14788960,"15026, Clinton US-PA 40.50227, -80.40148",40.502269,-80.401485,2024-04-20,10:32 AM,eBird - Traveling Count,57,1,1.286,,10,,,3RBC birding group
S197931848,Canada Goose,Branta canadensis,330,60,US-AR,Benton,L125062,Charlie Craig State Fish Hatchery,36.349914,-94.2910727,2024-10-07,12:09 PM,eBird - Traveling Count,104,1,2.797,,2
S201276675,Canada Goose,Branta canadensis,330,20,US-PA,Butler,L589807,Moraine SP--South Shore,40.9434397,-80.0859547,2024-11-03,11:17 AM,eBird - Traveling Count,23,1,.895,,1
S122672690,Canada Goose,Branta canadensis,330,100,US-PA,Butler,L589808,Moraine SP--Waterfowl Observation Area,40.9211051,-80.066911,2022-11-19,02:54 PM,eBird - Stationary Count,22,1,,,2
S201263669,Canada Goose,Branta canadensis,330,40,US-PA,Butler,L589808,Moraine SP--Waterfowl Observation Area,40.9211051,-80.066911,2024-11-03,09:18 AM,eBird - Stationary Count,69,1,,,1,,,,626584354 626584355 626584356 626584359 626584360
S196113558,Canada Goose,Branta canadensis,330,3,US-NJ,Cape May,L92443,Cape Island--CMPSP--Hawkwatch Platform,38.9328558,-74.9579416,2024-09-22,11:51 AM,eBird - Traveling Count,89,1,1.541,,1
S196360448,Canada Goose,Branta canadensis,330,3,US-NJ,Cape May,L92443,Cape Island--CMPSP--Hawkwatch Platform,38.9328558,-74.9579416,2024-09-24,01:31 PM,eBird - Stationary Count,39,1,,,1
S94967672,Canada Goose,Branta canadensis,330,2,US-NJ,Cape May,L109136,Cape Island--South Cape May Meadows (SCMM),38.9359287,-74.9434519,2021-09-21,08:51 AM,eBird - Traveling Count,23,1,.919,,2
S94975291,Canada Goose,Branta canadensis,330,2,US-NJ,Cape May,L109136,Cape Island--South Cape May Meadows (SCMM),38.9359287,-74.9434519,2021-09-21,11:29 AM,eBird - Traveling Count,48,1,.912,,2,,,,374062961
S196210161,Canada Goose,Branta canadensis,330,2,US-NJ,Cape May,L109136,Cape Island--South Cape May Meadows (SCMM),38.9359287,-74.9434519,2024-09-23,07:35 AM,eBird - Traveling Count,100,1,1.749,,10,,,CMBO walk
S196481678,Canada Goose,Branta canadensis,330,100,US-NJ,Cape May,L109136,Cape Island--South Cape May Meadows (SCMM),38.9359287,-74.9434519,2024-09-25,05:10 PM,eBird - Traveling Count,98,1,2.197,,10,,,CMBO walk
S196635823,Canada Goose,Branta canadensis,330,50,US-NJ,Cape May,L109136,Cape Island--South Cape May Meadows (SCMM),38.9359287,-74.9434519,2024-09-27,10:27 AM,eBird - Traveling Count,113,1,1.243,,2
S196429892,Canada Goose,Branta canadensis,330,2,US-NJ,Cape May,L16435769,"Cape May Point State Park, Cape May US-NJ 38.93277, -74.95918",38.932773,-74.959183,2024-09-25,07:40 AM,eBird - Traveling Count,112,1,2.404,,1,,,CMBO trip
S196236775,Canada Goose,Branta canadensis,330,1,US-NJ,Cape May,L771306,Jarvis Sound,38.967751,-74.8683929,2024-09-23,11:11 AM,eBird - Traveling Count,23,1,5.11,,20,,,Birding by Boat on The Osprey
S165216093,Canada Goose,Branta canadensis,330,1,US-PA,Centre,L1836486,Bald Eagle SP--Bald Eagle Launch,41.0188339,-77.6487199,2024-03-17,12:33 PM,eBird - Traveling Count,21,1,.147,,2
S165090319,Canada Goose,Branta canadensis,330,4,US-PA,Centre,L13974394,Bald Eagle SP--Day Use Area (general),41.0328057,-77.6407674,2024-03-16,07:13 PM,eBird - Traveling Count,45,1,2.971,,2
S174977176,Canada Goose,Branta canadensis,330,2,US-CO,Douglas,L358985,Aurora Rampart Reservoir,39.4498805,-105.0661182,2024-05-16,05:52 PM,eBird - Stationary Count,11,1,,,2
S174298177,Canada Goose,Branta canadensis,330,6,US-CO,Douglas,L804151,Chatfield SP--Downstream from Kingfisher Bridge (E),39.523465,-105.078333,2024-05-13,11:05 AM,eBird - Traveling Count,66,1,2.691,,2
S173747963,Canada Goose,Branta canadensis,330,3,US-CO,Douglas,L804036,Chatfield SP--Marina Sandspit,39.5436321,-105.0576639,2024-05-11,04:55 PM,eBird - Traveling Count,45,1,1.015,,2,,,Need to review photos for violet swallow
S174324217,Canada Goose,Branta canadensis,330,8,US-CO,Douglas,L804033,Chatfield SP--Plum Creek Delta,39.541481,-105.0499392,2024-05-13,02:32 PM,eBird - Traveling Count,4,1,.145,,2
S174106604,Canada Goose,Branta canadensis,330,1,US-CO,Douglas,L358988,Platte Canyon Reservoir,39.489569,-105.0867176,2024-05-12,04:07 PM,eBird - Traveling Count,22,1,.95,,2
S148327956,Canada Goose,Branta canadensis,330,5,US-MA,Dukes,L26806187,"Felix Neck Wildlife Sanctuary, Edgartown US-MA 41.41676, -70.56379",41.416757,-70.563786,2023-08-28,11:35 AM,eBird - Traveling Count,120,1,3.919,,3,,,#NYT
S133827049,Canada Goose,Branta canadensis,330,5,US-PA,Erie,L23607732,"Peninsula Dr, Erie US-PA 42.12226, -80.14806",42.122262,-80.14806,2023-04-15,11:08 AM,eBird - Traveling Count,20,1,.526,,2
S137073675,Canada Goose,Branta canadensis,330,20,US-OH,Erie,L248904,Pipe Creek Wildlife Area,41.4519119,-82.6673641,2023-05-11,08:01 AM,eBird - Traveling Count,164,1,2.36,,1
S137115489,Canada Goose,Branta canadensis,330,20,US-OH,Erie,L248904,Pipe Creek Wildlife Area,41.4519119,-82.6673641,2023-05-11,02:18 PM,eBird - Traveling Count,90,1,1.687,,2
S137119748,Canada Goose,Branta canadensis,330,10,US-OH,Erie,L248904,Pipe Creek Wildlife Area,41.4519119,-82.6673641,2023-05-11,03:49 PM,eBird - Traveling Count,35,1,1.005,,2,,,,575309081 575309091 575309101 575309111
S133853412,Canada Goose,Branta canadensis,330,5,US-PA,Erie,L1056700,Presque Isle SP--Beach 10,42.1726547,-80.0875593,2023-04-15,01:50 PM,eBird - Traveling Count,18,1,.862,,1
S93449651,Canada Goose,Branta canadensis,330,6,US-VA,Franklin,L12197844,730 Dodee Ln,37.032757,-79.678911,2021-08-19,11:14 AM,eBird - Traveling Count,59,1,1.192,,1
S98153506,Canada Goose,Branta canadensis,330,12,US-VA,Franklin,L12197844,730 Dodee Ln,37.032757,-79.678911,2021-11-27,02:50 PM,eBird - Traveling Count,87,1,1.804,,1,,,,392201541
S155112194,Canada Goose,Branta canadensis,330,2,US-VA,Franklin,L28064455,"Smith Mountain Lake, Union Hall US-VA 37.04168, -79.66367",37.041681,-79.663669,2023-11-24,02:27 PM,eBird - Casual Observation,,0,,,2
S174298164,Canada Goose,Branta canadensis,330,1,US-CO,Jefferson,L798588,Chatfield SP--Audubon Center & Trails,39.4934273,-105.0918996,2024-05-13,09:28 AM,eBird - Traveling Count,60,1,1.849,,2
S173681997,Canada Goose,Branta canadensis,330,20,US-CO,Jefferson,L16848523,Chatfield SP--Fox Run Group Picnic Area,39.5308535,-105.0870742,2024-05-11,02:23 PM,eBird - Traveling Count,30,1,.603,,2
S174711921,Canada Goose,Branta canadensis,330,4,US-CO,Jefferson,L804038,Chatfield SP--Swim Beach,39.5425069,-105.0831985,2024-05-15,11:16 AM,eBird - Traveling Count,38,1,2.095,,1
S174726967,Canada Goose,Branta canadensis,330,10,US-CO,Jefferson,L804038,Chatfield SP--Swim Beach,39.5425069,-105.0831985,2024-05-15,12:06 PM,eBird - Traveling Count,71,1,1.695,,1
S174702775,Canada Goose,Branta canadensis,330,10,US-CO,Jefferson,L31809451,Entrance Ponds,39.541997,-105.086488,2024-05-15,10:46 AM,eBird - Traveling Count,25,1,.805,,1
S173698841,Canada Goose,Branta canadensis,330,7,US-CO,Jefferson,L31613631,Kingfisher parking lot,39.520326,-105.083347,2024-05-11,03:03 PM,eBird - Traveling Count,28,1,.481,,2
S136971535,Canada Goose,Branta canadensis,330,20,US-OH,Lucas,L4971040,Howard Marsh Metropark,41.6450689,-83.2637178,2023-05-10,01:31 PM,eBird - Traveling Count,81,1,1.672,,2
S140531949,Canada Goose,Branta canadensis,330,20,US-OH,Lucas,L4971040,Howard Marsh Metropark,41.6450689,-83.2637178,2023-05-13,10:00 AM,eBird - Traveling Count,60,0,.805,,12,FL Recently Fledged Young,,,581438901 581438911
S136867072,Canada Goose,Branta canadensis,330,10,US-OH,Lucas,L317582,Magee Marsh (Lucas Co.),41.6265199,-83.1889691,2023-05-09,06:02 PM,eBird - Traveling Count,80,1,1.003,,2
S109931744,Canada Goose,Branta canadensis,330,1,US-OH,Lucas,L339541,Maumee Bay SP--Boardwalk,41.6841898,-83.3654426,2022-05-13,06:36 PM,eBird - Traveling Count,44,1,.789,,2
S136356841,Canada Goose,Branta canadensis,330,9,US-OH,Lucas,L339541,Maumee Bay SP--Boardwalk,41.6841898,-83.3654426,2023-05-06,04:10 PM,eBird - Traveling Count,74,1,2.082,,1,,,Thrush or thrasher. Unknown falcon
S137292290,Canada Goose,Branta canadensis,330,2,US-OH,Lucas,L339541,Maumee Bay SP--Boardwalk,41.6841898,-83.3654426,2023-05-12,02:50 PM,eBird - Traveling Count,126,1,2.361,,2
